#
# .hiv IDN Table
#
# Source: https://github.com/dothiv/idn-table/
#
# This table is a compilation of the IDN tables
#
# - German (referenced by ISO 639-1)
# - Danish (referenced by ISO 639-1)
# - Hungarian (referenced by ISO 639-1)
# - Icelandic (referenced by ISO 639-1)
# - Lithuanian (referenced by ISO 639-1)
# - Latvian (referenced by ISO 639-1)
# - Polish (referenced by ISO 639-1)
# - Swedish (referenced by ISO 639-1)
# - Spanish (referenced by ISO 639-1) 
#
U+002D; # HYPEN-MINUS
U+0030; # DIGIT ZERO
U+0031; # DIGIT 1
U+0032; # DIGIT 2
U+0033; # DIGIT 3
U+0034; # DIGIT 4
U+0035; # DIGIT 5
U+0036; # DIGIT 6
U+0037; # DIGIT 7
U+0038; # DIGIT 8
U+0039; # DIGIT 9
U+0061; # LATIN SMALL LETTER A
U+0062; # LATIN SMALL LETTER B
U+0063; # LATIN SMALL LETTER C
U+0064; # LATIN SMALL LETTER D
U+0065; # LATIN SMALL LETTER E
U+0066; # LATIN SMALL LETTER F
U+0067; # LATIN SMALL LETTER G
U+0068; # LATIN SMALL LETTER H
U+0069; # LATIN SMALL LETTER I
U+006A; # LATIN SMALL LETTER J
U+006B; # LATIN SMALL LETTER K
U+006C; # LATIN SMALL LETTER L
U+006D; # LATIN SMALL LETTER M
U+006E; # LATIN SMALL LETTER N
U+006F; # LATIN SMALL LETTER O
U+0070; # LATIN SMALL LETTER P
U+0071; # LATIN SMALL LETTER Q
U+0072; # LATIN SMALL LETTER R
U+0073; # LATIN SMALL LETTER S
U+0074; # LATIN SMALL LETTER T
U+0075; # LATIN SMALL LETTER U
U+0076; # LATIN SMALL LETTER V
U+0077; # LATIN SMALL LETTER W
U+0078; # LATIN SMALL LETTER X
U+0079; # LATIN SMALL LETTER Y
U+007A; # LATIN SMALL LETTER Z
U+00E1; # LATIN SMALL LETTER A WITH ACUTE
U+00E4; # LATIN SMALL LETTER A WITH DIAERESIS
U+00E5; # LATIN SMALL LETTER A WITH RING ABOVE
U+00E6; # LATIN SMALL LIGATURE AE
U+00E9; # LATIN SMALL LETTER E WITH ACUTE
U+00ED; # LATIN SMALL LETTER I WITH ACUTE
U+00F0; # LATIN SMALL LETTER ETH
U+00F1; # LATIN SMALL LETTER N WITH TILDE
U+00F3; # LATIN SMALL LETTER O WITH ACUTE
U+00F6; # LATIN SMALL LETTER O WITH DIAERESIS
U+00F8; # LATIN SMALL LETTER O WITH STROKE
U+00FA; # LATIN SMALL LETTER U WITH ACUTE
U+00FC; # LATIN SMALL LETTER U WITH DIAERESIS
U+00FD; # LATIN SMALL LETTER Y WITH ACUTE
U+00FE; # LATIN SMALL LETTER THORN
U+0101; # LATIN SMALL LETTER A WITH MACRON
U+0105; # LATIN SMALL LETTER A WITH OGONEK
U+0107; # LATIN SMALL LETTER C WITH ACUTE
U+010D; # LATIN SMALL LETTER C WITH CARON
U+0113; # LATIN SMALL LETTER E WITH MACRON
U+0117; # LATIN SMALL LETTER E WITH DOT ABOVE
U+0119; # LATIN SMALL LETTER E WITH OGONEK
U+0123; # LATIN SMALL LETTER G WITH CEDILLA
U+012B; # LATIN SMALL LETTER I WITH MACRON
U+012F; # LATIN SMALL LETTER I WITH OGONEK
U+0137; # LATIN SMALL LETTER K WITH CEDILLA
U+013C; # LATIN SMALL LETTER L WITH CEDILLA
U+0142; # LATIN SMALL LETTER L WITH STROKE
U+0144; # LATIN SMALL LETTER N WITH ACUTE
U+0146; # LATIN SMALL LETTER N WITH CEDILLA
U+014D; # LATIN SMALL LETTER O WITH MACRON
U+0151; # LATIN SMALL LETTER O WITH DOUBLE ACUTE
U+0157; # LATIN SMALL LETTER R WITH CEDILLA
U+015B; # LATIN SMALL LETTER S WITH ACUTE
U+0161; # LATIN SMALL LETTER S WITH CARON
U+016B; # LATIN SMALL LETTER U WITH MACRON
U+0171; # LATIN SMALL LETTER U WITH DOUBLE ACUTE
U+0173; # LATIN SMALL LETTER U WITH OGONEK
U+017A; # LATIN SMALL LETTER Z WITH ACUTE
U+017C; # LATIN SMALL LETTER Z WITH DOT ABOVE
U+017E; # LATIN SMALL LETTER Z WITH CARON
